,NONE,RIGHT,LEFT,BILATERAL
NONE,0.0,0.0,0.0,0.0
RIGHT,14.0,327.0,3.0,26.0
LEFT,10.0,0.0,302.0,38.0
BILATERAL,0.0,6.0,19.0,230.0
