category,mean,ci_lo,ci_hi,per_seed
exact match,0.4977973568281938,0.4566821522305007,0.538912561425887,0.4581 0.5154 0.5330 0.5154 0.4670
zone error only,0.2246696035242291,0.2107240771890603,0.2386151298593979,0.2379 0.2247 0.2070 0.2291 0.2247
size error only,0.1814977973568282,0.16200473409156124,0.20099086062209515,0.1982 0.1674 0.1762 0.1674 0.1982
zone + size error,0.05991189427312775,0.053675265299637565,0.06614852324661794,0.0573 0.0617 0.0529 0.0617 0.0661
missed kidney,0.03612334801762115,0.024264918932432156,0.04798177710281014,0.0485 0.0308 0.0308 0.0264 0.0441
"detected, not characterized",0.0,0.0,0.0,0.0000 0.0000 0.0000 0.0000 0.0000
false-positive kidney,0.0,0.0,0.0,0.0000 0.0000 0.0000 0.0000 0.0000
stone not characterized in reference,0.0,0.0,0.0,0.0000 0.0000 0.0000 0.0000 0.0000
